,0
0,8457.296
1,10836.27700000001
2,12081.270000000011
3,12321.273000000012
4,12778.281000000012
5,13409.290000000012
6,13421.296000000013
7,13736.315000000011
8,13907.334000000013
9,14104.347000000012
10,13602.349000000013
11,13299.34700000001
12,12281.345000000012
13,12175.336000000014
14,11660.339000000007
15,11337.346000000005
16,11661.340000000006
17,11802.341000000006
18,11458.344000000008
19,11382.347000000009
20,11990.342000000008
21,11792.330000000009
22,11427.320000000007
23,11551.30400000001
24,11813.29800000001
25,11530.28100000001
26,11681.273000000008
27,10909.26300000001
28,10639.249000000007
29,10556.24200000001
30,10091.233000000011
31,10143.221000000009
32,9910.209000000006
33,10624.190000000006
34,10124.177000000007
35,10166.169000000007
36,9589.164000000008
37,10212.154000000006
38,10830.145000000008
39,10670.124000000007
40,10368.126000000007
41,11013.121000000006
42,11758.117000000011
43,10752.112000000008
44,11116.110000000006
45,11350.108000000004
46,11683.102000000006
47,12170.096000000007
48,11748.092000000006
49,12380.090000000007
50,13011.088000000007
51,12579.087000000007
52,12340.087000000007
53,12447.083000000006
54,12228.083000000006
55,11986.080000000004
56,11900.080000000004
57,12136.075000000004
58,11787.076000000003
59,12026.069000000003
60,11805.068000000003
61,11652.066000000003
62,11415.063000000002
63,11644.061000000002
64,10672.060000000003
65,10859.053000000004
66,10781.049000000003
67,11210.040000000003
68,11821.040000000005
69,11798.035000000003
70,11803.032000000001
71,12195.028000000002
72,12034.023000000001
73,11644.022
74,11362.025000000001
75,11258.021
76,10876.017
77,10091.015
78,10444.01
79,11229.005000000001
80,11601.004
81,11100.004
82,11045.005000000001
83,11073.003
84,10886.004
85,11255.003
86,11255.003
87,11210.002
88,11041.002
89,10495.002
90,10287.002
91,10490.002
92,10911.002
93,10854.005000000001
94,10698.003
95,10516.003
96,10145.004
97,10806.005000000001
98,10426.003
99,10221.007
100,10278.005000000001
101,9989.006
102,10202.005000000001
103,10515.005000000001
104,10502.006000000001
105,10517.001
106,10707.004
107,11115.002
108,11279.005000000001
109,12506.002
110,12324.001
111,12103.002
112,11864.005000000001
113,11700.003
114,11908.002
115,11700.004
116,11650.003
117,11600.003
118,11769.005000000001
119,11002.003
120,10607.006000000001
121,10794.005000000001
122,10625.005000000001
123,10620.006000000001
124,10204.007000000001
125,10269.005000000001
126,10332.005000000001
127,10551.006000000001
128,10213.003
129,10803.001
130,10408.002
131,10561.003
132,10969.001
133,11307.002
134,11528.001
135,11094.005000000001
136,11133.004
137,11926.002
138,12100.002
139,12919.001
140,13265.005000000001
141,13133.004
142,12946.004
143,12158.004
144,11188.002
145,11370.003
146,11312.003
147,11080.002
148,11106.0
149,10482.002
150,10079.002
151,9892.002
152,10066.003
153,10248.003
154,10066.004
155,10469.002
156,10714.001
157,10777.002
158,10764.003
159,10543.005000000001
160,10543.005000000001
161,10603.004
162,10571.002
163,11132.0
164,12068.003
165,11899.002
166,11912.001
167,12302.002
168,12349.001
169,13493.003
170,13888.001
171,13667.001
172,13246.005
173,12134.005000000001
174,11120.008
175,11518.007000000001
176,11128.006000000001
177,11068.008000000002
178,11515.005000000001
179,10904.007000000001
180,10540.005000000001
181,10384.003
182,10540.006000000001
183,10571.003
184,10207.002
185,10592.003
186,10943.004
187,10416.005000000001
188,10018.005000000001
189,9831.005000000001
190,9987.007000000001
191,9997.004
192,9792.007000000001
193,10408.005000000001
194,10637.005000000001
195,11060.002
196,11008.005000000001
197,11988.004
198,12014.002
199,13392.002
200,13405.001
201,13327.004
202,13158.005000000001
203,12352.006000000001
204,11617.007000000001
205,11754.006000000001
206,10987.005000000001
207,10534.005000000001
208,10937.003
209,10126.005000000001
210,9536.006000000001
211,9705.007000000001
212,9718.005000000001
213,9835.011
214,9939.005
215,10509.005000000001
216,10878.003
217,10920.003
218,10941.003
219,10273.007
220,10286.007
221,10070.002
222,10174.005
223,10777.002
224,11167.001
225,10909.002
226,11455.003
227,12274.001
228,12664.001
229,14037.002
230,13803.004
231,13785.005000000001
232,13959.002
233,13166.002
234,12316.005000000001
235,12334.004
236,11520.002
237,10872.003
238,10703.003
239,9968.004
240,9430.003
241,9994.001
242,10144.001
243,10152.001
244,10152.002
245,10659.002
246,10872.0
247,10488.003
248,10233.004
249,9830.004
250,10402.003
251,10363.003
252,10171.003
253,9989.002
254,10163.002
255,10295.003
256,11080.002
257,11821.003
258,12029.003
259,13446.001
260,13173.003
261,12978.003
262,12757.003
263,12367.002
264,12003.001
265,11650.002
266,10504.004
